"AED모델명","우편번호(앞자리)","우편번호(뒤자리)","관리책임자명","관리자연락처","설치기관주소","설치기관전화번호","설치위치","제조사","설치기관명","경도","위도"
"HeartOn A10","040","37","김상욱","016-686-4338","서울특별시 마포구 양화로 지하 55 2호선 합정역","02-6110-2380","2호선합정역 지하1층대합실","메디아나","서울메트로(2호선 합정역)","126.9146381804","37.5501152068"
"HeartOn A10","047","59","최재명","010-8748-3737","서울특별시 성동구 마조로11길 6 마장국민체육센터","01087483737","마장국민체육센터 1층 사무실","(주)메디아나","마장국민체육센터","127.0407913197","37.5621284995"
"HeartOn A10","134","779","오민정","02-2225-8702","서울특별시 강동구 천호2동 현대백화점","02-2225-8702","7층 직원동선","(주)메디아나","현대백화점천호점","127.1244314062","37.538860271"
"HeartOn A10","041","67","윤제길","02-6311-5281","서울특별시 마포구 마포대로 지하 33 5호선 마포역","0263115281","5호선마포역 지하1층대합실","메디아나","서울특별시도시철도공사(마포역)","126.9459203700","37.5395837885"
"Hearton a15-g4","047","04","이종수","010-2661-3291","서울특별시 성동구 청계천로 546 성동구도시관리공단 (마장동)","02-2204-7946","1층 출입문 옆","메디아나","성동구도시관리공단","127.0248931731","37.5541284627"
"HeartOn A10","053","27","한미선","02-2224-6706","서울특별시 강동구 구천면로 189","0222246706","2001아울렛 1층 고객만족실","(주)메디아나","2001아울렛천호점","127.1255357849","37.5415909324"
"HeartOn A10","047","18","김상한","010-3365-5587","서울특별시 성동구 금호로 100 (임대) (금호동1가 벽산아파트)","010-3109-3187","관리사무소","(주)메디아나","금호벽산아파트(임대)","127.0260929301","37.5545318506"
"HeartOn A10","052","25","이윤경","02-428-0870","서울특별시 강동구 고덕로 295-45","024280870","1층 보건실 앞","(주)메디아나","우성원","127.1585697206","37.5577331119"
"HeartOn A10","042","13","김근용","02-6311-5290","서울특별시 마포구 마포대로 지하 100 5호선 공덕역","0263115290","5호선 공덕역 지하1층대합실","메디아나","서울시도시철도공사(5호선 공덕역)","126.9513638302","37.5445267873"
"HeartOn A10","042","02","김병곤","02-6311-5301","서울특별시 마포구 마포대로 지하 210 5호선 애오개역","0263115301","5호선애오개역 지하1층 대합실","메디아나","서울시도시철도공사(5호선 애오개역)","126.9566132601","37.5533624029"
"HeartOn A10","039","32","노희걸","010-3752-2998","서울특별시 마포구 월드컵로 지하 240 6호선 월드컵경기장역","01037522998","지하1층대합실 안내센터 옆 벽면","메디아나","서울시도시철도공사(6호선 월드컵경기장역)","126.8990333258","37.5699425690"
"HeartOn A10","047","03","김길수","010-7728-3563","서울특별시 성동구 무학로 50 (임대) (하왕십리동 벽산아파트)","01077283563","관리사무소","(주)메디아나","청계벽산아파트제2관리사무소","127.0326726631","37.5691096001"
"HeartOn A10","033","49","김선희","02-351-5071","서울특별시 은평구 연서로 282 국민은행연서점 1층 (불광동)","0231594556","1층 민원실","메디아나","불광2동주민센터","126.9257194566","37.6208521685"
"HeartOn A10","033","18","조주현","02-351-5091","서울특별시 은평구 갈현로 301 갈현1동청사및문화의집 (갈현동)","02-3159-4577","1층 입구 좌측","메디아나","갈현1동주민센터","126.9167417365","37.6236744644"
"HeartOn A10","034","26","김은정","02-351-5166","서울특별시 은평구 갈현로17길 10 구산동청사및주민자치센터 (구산동)","023515166","1층 정문앞","메디아나","구산동주민센터","126.9103541025","37.6117558422"
"HeartOn A10","034","62","유수지","02-351-5222","서울특별시 은평구 백련산로 179 응암제1동주민센터 (응암동)","023515222","1층민원실","메디아나","응암1동주민센터","126.9267462200","37.6006966955"
"HeartOn A10","034","75","백수빈","02-351-5251","서울특별시 은평구 백련산로 100 응암제2동주민센터 (응암동)","023515251","2층 민원실 밖 현관","메디아나","응암2동주민센터","126.9230685327","37.5945815823"
"HeartOn A10","034","57","김명수","02-351-5282","서울특별시 은평구 불광천길 410-17 응암제3동주민센터 (응암동)","023515282","1층 민원실 입구","메디아나","응암3동주민센터","126.9156623680","37.5922401614"
"HeartOn A10","034","17","이선아","3515314","서울특별시 은평구 연서로 59 역촌동주민센터 (역촌동)","3515314","1층 무인민원 발급창구 옆","메디아나","역촌동주민센터","126.9151008611","37.6044024142"
"HeartOn A10","034","50","용상아","02-351-5333","서울특별시 은평구 은평로2길 2 신사1동주민센터 (신사동)","023515333","1층 민원실 입구","메디아나","신사1동주민센터","126.9117597126","37.5977942623"
"HeartOn A10","034","47","안수진","02-351-5364","서울특별시 은평구 증산로15길 47 신사2동 복합청사 (신사동)","023515364","1층 민원실","메디아나","신사2동주민센터","126.9080583087","37.5902570763"
"HeartOn A10","034","98","고성준","02-351-5399","서울특별시 은평구 증산서길 89","023515399","2층 민원실","메디아나","증산동주민센터","126.907026124","37.5843535057"
"HeartOn A10","034","90","임정희","02-351-5435","서울특별시 은평구 은평터널로 27 수색동주민센터 (수색동)","023515435","1층 민원실 제일 안쪽","메디아나","수색동주민센터","126.8975659639","37.5841654769"
"HeartOn A10","033","06","정은우","02-351-5465","서울특별시 은평구 진관2로 31 진관동주민센터 (진관동)","023515465","1층 민원실","메디아나","진관동주민센터","126.9209253865","37.6350064318"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 201동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0789844921","37.6568931851"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 202동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0789844921","37.6568931851"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 203동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0789844921","37.6568931851"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 204동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0789844921","37.6568931851"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 205동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0790007645","37.6572769924"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 206동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0797600886","37.6573035109"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 207동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0789844921","37.6568931851"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 208동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0797595296","37.6567809418"
"NFK200","070","23","최수진","02-588-1455","서울특별시 동작구 남부순환로 2025 동작구치매안심센터 (사당동)","02-588-1455","1층 안내데스크","씨유메디컬","동작구치매안심센터","126.9736224446","37.4764304412"
"i-PAD NFK200","088","32","김성남","02-879-4934","서울특별시 관악구 관악로 145 구청별관","02-879-7184","치매안심센터 3층 안내데스크 안쪽","씨유메디칼시스템","관악구치매안심센터","126.9515012441","37.4782106746"
"NFK200","085","23","박지영","3281-9082","서울특별시 금천구 시흥대로123길 11 독산1동주민센터 (독산동)","32819082","6층휴게실","씨유메디칼","금천구치매지원센터","126.8970437256","37.4702190458"
"NFK200","077","22","박민지","02-2699-3328","서울특별시 강서구 초록마을로 28 1층 정중앙","0226993328","1층 정중앙","씨유메디칼시스템","서울화곡초교","126.8464717253","37.5436696173"
"NFK200","075","98","박지은","02-2661-2892","서울특별시 강서구 방화대로34길 2 본관 보건실 앞","0226612892","본관보건실앞","씨유메디칼시스템","서울송화초교","126.8180329394","37.5681504658"
"NFK200","076","40","김혜순","02-2667-0985","서울특별시 강서구 강서로45길 113 보건실 내","0226670985","1층 중앙현관","씨유메디칼시스템","서울발산초교","126.8309943775","37.5502624356"
"NFK200","077","16","장현정","02-2699-4785","서울특별시 강서구 강서로31길 48 교무실 안쪽","0226994785","본관1층 중앙현관 안쪽","(주)씨유메디칼","서울신월초교","126.8394554783","37.5403655143"
"NFK200","076","93","함지혜","02-2629-7812","서울특별시 강서구 강서로46길 23 보건실내","02-3662-7565","보건실내","씨유메디칼시스템","서울내발산초교","126.8381642147","37.5508825455"
"i-PAD NFK200","079","09","김소연","최은자","서울특별시 양천구 가로공원로55길 19 신원중학교 (신월동)","02-2699-3576","중앙현관","씨유메디칼시스템","신원중학교","126.8248419488","37.5370924963"
"i-PAD NFK200","079","12","이현주","02-2694-0581","서울특별시 양천구 남부순환로 380 양서중학교 (신월동)","02-6273-8122","본관 1층 교무실 앞","씨유메디칼시스템","양서중학교","126.8290712955","37.5326199140"
"i-PAD NFK200","079","35","강은혜","2698-1215","서울특별시 양천구 오목로 101 서울양강초등학교 (신월동)","26981215","1층 보건실 앞 복도","씨유메디칼시스템","서울양강초등학교","126.8478515397","37.5242344883"
"씨유메디칼시스템 NFK200","073","99","치안센터장(천명규)","832-50535","서울특별시 영등포구 신길로23길 12","02-2118-9038","1층 센터 사무실 내","(주)씨유메디칼","신길5치안센터(영등포)","126.9077723481","37.5006620663"
"i-PAD NFK200","043","65","박재훈","02-3272-3161","서울특별시 용산구 원효로 66","0232723161","관리사무소 입구","(주)씨유메디칼시스템","산호아파트","126.9509203987","37.5319397180"
"i-PAD NFK200","044","06","이경민","02-794-8361","서울특별시 용산구 이태원로 184","02-2198-0127","출입구 좌측","씨유메디칼시스템","이태원지구대","126.9944036863","37.5343115810"
"i-PAD NFK200","043","14","양석중","02-713-0129","서울특별시 용산구 원효로89길 24 용산경찰서","02-2198-0400","교통조사계 복도","씨유메디칼시스템","용산경찰서(본청)","126.9676479386","37.5415376293"
"i-PAD NFK200","044","27","최정록","02-793-8293","서울특별시 용산구 이촌로64길 15","02-793-8293","103동 경비실 내","씨유메디칼시스템","이촌자이아파트","126.971109224","37.5199471998"
"i-PAD NFK200","044","26","김윤택","02-794-2036","서울특별시 용산구 이촌로 248","02-794-2036","관리사무소 입구","(주)씨유메디칼시스템","한강맨션아파트","126.9746843741","37.5182685502"
"i-pad NFK200","030","97","고유미","02-763-6843","서울특별시 종로구 낙산성곽동길 20-1 덕산파출소 (창신동)","02-763-6843","1층","씨유메디칼시스템","혜화경찰서 덕산파출소","127.0093447155","37.5744069177"
"NFK200","076","43","이주봉","02-2667-3114","서울특별시 강서구 수명로1길 110 관리사무실","0226673114","관리실앞","(주)씨유메디칼","마곡수명산파크3단지아파트","126.8247074755","37.5518565943"
"NFK200","076","43","김민회","02-2667-4114","서울특별시 강서구 수명로1길 16  (내발산동 마곡수명산파크4단지아파트)","0226674114","410동 1층 관리사무소 앞","(주)씨유메디칼","마곡수명산파크4단지아파트","126.8225613604","37.5520480041"
"I-PAD NFK200","012","23","이시현","02-980-0832","서울특별시 강북구 오현로 128 번동 동문아파트 (번동 번동동문아파트)","029800832","2층 관리사무소 출입문 좌측 벽면","씨유메디칼시스템","번동동문아파트","127.0379771424","37.6241046118"
"NFK200","076","35","장윤수","02-2667-5114","서울특별시 강서구 수명로2길 105","0226675114","관리사무소 (505동)","씨유메디칼","마곡수명산파크5단지아파트","126.8275825587","37.5515869245"
"NF1200","069","78","박홍국","02-813-9922","서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동 래미안상도2차아파트)","028139922","205동","씨유메디컬","상도래미안2차아파트","126.9582427617","37.4980183036"
"NF1200","069","78","박홍국","02-813-9922","서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동 래미안상도2차아파트)","028139922","206동","씨유메디컬","상도래미안2차아파트","126.9577989894","37.4978537123"
"NF1200","069","78","박홍국","02-813-9922","서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동 래미안상도2차아파트)","028139922","207동","씨유메디컬","상도래미안2차아파트","126.9576770287","37.4985496960"
"NF1200","069","78","박홍국","02-813-9922","서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동 래미안상도2차아파트)","028139922","208동","씨유메디컬","상도래미안2차아파트","126.9512482147","37.5017115511"
"NF1200","069","78","박홍국","02-813-9922","서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동 래미안상도2차아파트)","028139922","209동","씨유메디컬","상도래미안2차아파트","126.9512482147","37.5017115511"
"AED2100K","069","77","박미남","02-812-2936","서울특별시 동작구 상도로53길 8 상도래미안3차아파트 (상도동 래미안상도3차아파트)","028122936","관리사무소","니혼코덴","상도래미안3차아파트","126.9541708623","37.4992962230"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 3층 (서초동)","22553377","안내데스크(남측)","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-2100K","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 26층 (서초동)","22553377","A파트","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 PH2층 (서초동)","22553377","전기실 내부","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 5층 (서초동)","22553377","코페레이트 사무실","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩  27층 (서초동)","22553377","A파트","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 6층 (서초동)","22553377","안내데스크(서측)","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 5층 (서초동)","22553377","다목적홀 입구측","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 1층 (서초동)","22553377","정문데스크","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 42층 (서초동)","22553377","42층 A파트동측","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 19층 (서초동)","22553377","승강기홀입구(동측)","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩  19층 (서초동)","22553377","A파트","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 28층 (서초동)","22553377","A파트","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 22층 (서초동)","22553377","B파트 전기실 내부","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"AED-3100L","066","20","빌딩운영센터(방재실)","2255-3377","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 B6층 (서초동)","22553377","셔틀 승강기 앞","니혼코덴","삼성전자서초사옥","127.0269144605","37.4966333557"
"HeartOn A10","039","38","박종영","010-9373-9736","서울특별시 마포구 월드컵로 지하 190 6호선 마포구청역","02-6311-6200","6호선 마포구청역 지하2층 대합실","메디아나","서울시도시철도공사(마포구청역)","126.9033569738","37.5634263131"
"HeartOn A10","040","12","전철진","010-2634-8647","서울특별시 마포구 월드컵로 지하 77 6호선 망원역","02-6311-6210","6호선 망원역 지하1층 대합실","메디아나","서울시도시철도공사(망원역)","126.9100339254","37.5560572923"
"HeartOn A10","040","27","김상욱","010-2561-9126","서울특별시 마포구 양화로 지하 45 6호선 합정역 (합정동)","02-6311-6220","6호선합정역 지하3층대합실","메디아나","서울교통공사(6호선합정역)","126.9135445660","37.5491226824"
"HeartOn A10","040","49","두연호","010-2854-8842","서울특별시 마포구 독막로 지하 85 6호선 상수역","02-6311-6231","6호선상수역지하2층대합실 GS25편의점 우측","메디아나","서울시도시철도공사(상수역)","126.9224098579","37.5477716665"
"HeartOn A10","040","99","김경미","010-2854-8842","서울특별시 마포구 독막로 지하 165 6호선 광흥창역","02-6311-6240","6호선광흥창역 지하2층대합실","메디아나","서울시도시철도공사(광흥창역)","126.9319392404","37.5474860706"
"HeartOn A10","041","49","윤권희","010-3735-4878","서울특별시 마포구 백범로 96 6호선 대흥역","01037354878","6호선대흥역 지하2층대합실","메디아나","서울시도시철도공사(대흥역)","126.9420497337","37.5476536452"
"HeartOn A10","042","13","김근용","6311-5290","서울특별시 마포구 마포대로 지하 100 6호선 공덕역","63115290","6호선공덕역 지하1층대합실","메디아나","서울시도시철도공사(6호선 공덕역)","126.9513638302","37.5445267873"
"HeartOn A10","047","17","윤철수","010-7770-0013","서울특별시 성동구 행당로 82 (임대) (행당동 행당 한진타운)","02-2297-2057","행당한진아파트 관리동 입구","(주)메디아나","행당한진아파트","127.0264147271","37.5556327982"
"HeartOn A10","047","00","김은지","010-2576-0339","서울특별시 성동구 마장로 141 왕십리도선동 공공복합청사 (상왕십리동)","02-2286-7638","2층 주민센터 건강이음터 옆","메디아나","왕십리도선동주민센터","127.0255293592","37.5678747444"
"HeartOn A10","047","10","최현복","02-2286-7223","서울특별시 성동구 무학봉길 69 왕십리제2동주민센터 (하왕십리동)","0222867223","1층 민원실 내","메디아나","왕십리2동주민센터","127.0310213275","37.5618652262"
"HeartOn A10","047","57","강지은","02-2286-7251","서울특별시 성동구 마장로42길 11 마장동주민센터 (마장동)","0222867251","출입구 우측벽","메디아나","마장동주민센터","127.0454073343","37.5663196905"
"HeartOn A10","047","61","오소담","02-2286-7273","서울특별시 성동구 사근동길 45-8(사근동)","0222867273","사근동주민센터 내부","메디아나","사근동주민센터","127.0453861840","37.5614955131"
"HeartOn A10","047","45","최지영","010-8714-3530","서울특별시 성동구 고산자로10길 18 행당제1동주민센터 (행당동)","01087143530","민원실내 2층 엘리베이터 옆","메디아나","행당1동주민센터","127.0361515394","37.5585097159"
"HeartOn A10","047","28","김은빈","02-2286-7371","서울특별시 성동구 무수막18길 1 금호2-3가동 주민센터 (금호동2가)","0222867371","주민센터 내부","(주)메디아나","금호23가동주민센터","127.0208504443","37.5532390599"
"HeartOn A10","047","80","강예원","02-2286-7422","서울특별시 성동구 뚝섬로3길 18 성수1가제1동주민센터 (성수동1가)","0222867422","사무실 안 동장실 우측","메디아나","성수1가1동주민센터","127.0496884570","37.5420323828"
"HeartOn A10","047","68","손애영","02-2286-7452","서울특별시 성동구 왕십리로5길 3 성수1가제2동 공공복합청사 (성수동1가)","0222867452","주민센터 입구 안쪽","메디아나","성수1가2동주민센터","127.0443076535","37.5463696824"
"Heart0n A10","075","26","고수복","02-2668-7000","서울특별시 강서구 양천로57길 36 관리사무실","0226687000","가양5단지 관리사무소앞","메디아나","가양5단지아파트","126.8535176336","37.5646287321"
"HeartOn A10","047","92","신예지","010-9131-7826","서울특별시 성동구 광나루로2길 35 성수2가제3동주민센터 (성수동2가)","01091317826","주민센터 내부","(주)메디아나","성수2가3동주민센터","127.0552458981","37.54822203"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 209동 승강기 옆","(주)나눔테크","중계주공2단지아파트","127.0789889068","37.6567814604"
"HeartPro NT-280","017","18","민하기","02-951-2425","서울특별시 노원구 한글비석로14길 8(중계동 주공2단지아파트)","02-951-2425","(중계4동) 210동 엘리베이터 옆","(주)나눔테크","중계주공2단지아파트","127.0789844921","37.6568931851"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 101동 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 102동 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 103동 12호 라인 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 103동 34호 라인 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 104동 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 105동 12 라인 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 105동 34 라인 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"HeartPro NT-280","018","33","이상찬","02-975-6214","서울특별시 노원구 공릉로 213(공릉동 동신아파트)","02-975-6214","공릉1동 106동 승강기 앞","나눔테크","공릉동신아파트","127.0773922863","37.6278803891"
"NT280-K12-00356","018","15","공일천","02-972-2114","서울특별시 노원구 공릉로34길 118 (공릉동 공릉삼익2차아파트)","02-972-2114","공릉2동 아파트관리소 내","나눔테크","공릉삼익2차아파트","127.0808402527","37.6259696077"
"NF1200","120","806","김기홍","02-379-1919","서울특별시 서대문구 홍은중앙로1길 33 (홍은동) 유원아파트","02-379-1913","1동  엘리베이터 앞","씨유메디칼","유원홍은아파트","126.9450845744","37.5971944103"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 101동 2라인 입구","나눔테크","하계미성아파트","127.0695394963","37.6346808742"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 102동 2라인 입구","나눔테크","하계미성아파트","127.0699012719","37.6338661697"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 103동 2라인 입구","나눔테크","하계미성아파트","127.0696750663","37.6342717469"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 105동 2라인 입구","나눔테크","하계미성아파트","127.0695112157","37.6347268412"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 106동 2라인 입구","나눔테크","하계미성아파트","127.0693020455","37.6351819618"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 107동 2라인 입구","나눔테크","하계미성아파트","127.0695394963","37.6346808742"
"HeartPro NT-280","018","29","이명순","02-974-7414","서울특별시 노원구 공릉로59길 28 (하계동 미성아파트)","02-974-7414","(하계1동) 107동 4라인 입구","나눔테크","하계미성아파트","127.0695394963","37.6346808742"
"Heartpro-NT-280","041","45","한천희","02-3272-0290","서울특별시 마포구 마포대로 115-8 101동 (공덕동 공덕삼성아파트)","0232720290","101동 34라인","(주)나눔테크","공덕삼성아파트","126.9511647106","37.5465526015"
"Heartpro-NT-280","041","45","한천희","02-3272-0290","서울특별시 마포구 마포대로 115-8","0232720290","102동 12라인","(주)나눔테크","공덕삼성아파트","126.9511647106","37.5465526015"
"i-PAD NFK200","072","43","윤진영","784-0112","서울특별시 영등포구 여의공원로 120 여의도지구대","02-2118-9012","1층 책장 위 선반","씨유메디칼시스템","여의도지구대(영등포)","126.9266911111","37.5296207835"
"NFK200","075","25","윤화중","02-2668-7755","서울특별시 강서구 허준로 139 정문사무실","0226687755","정문경비실","(주)씨유메디칼","가양강변아파트","126.8562794353","37.5646105026"
"i-PAD NFK200","045","61","곽효욱","02-2279-1908","서울특별시 중구 을지로 234 을지지구대 (을지로5가)","0222791908","1층 내부 출입구 좌측","씨유메디칼시스템","을지지구대 (서울중부경찰서)","127.0039390132","37.5664710745"
"i-PAD NFK200","100","866","이백로","02-2278-7710","서울특별시 중구 퇴계로 178","0222787710","1층 출입구 옆 사무실 안쪽","씨유메디칼시스템","서울중부경찰서 충무파출소","126.9915846105","37.5608773647"
"NFK200","076","91","윤소영","02-2695-9442","서울특별시 강서구 강서로 266 관리동앞","0226959442","관리동앞","씨유메디칼","우장산아이파크e편한세상아파트","126.8409795909","37.548261224"
"NFK200","056","73","유병련","02-415-6401","서울특별시 송파구 오금로32길 5 가락삼익맨숀","024156401","정문초소 내","(주)씨유메디칼","가락삼익맨숀","127.1211521563","37.5052866616"
"NFK200","075","24","이승열","02-2659-6771","서울특별시 강서구 강서로 532 관리사무소","02-2659-6771","관리사무소","(주)씨유메디칼","동신대아아파트","126.8437684801","37.5723810066"
"NFK200","076","71","전창현","02-2646-5504","서울특별시 강서구 등촌로 163 관리사무실","0226465504","관리사무소","(주)씨유메디칼","등촌아이파크아파트","126.8609767215","37.5438859850"
"I-PAD NFK200","011","77","백승진","02-989-0391","서울특별시 강북구 도봉로 127 미아지구대 (미아동)","02-944-4112","1층 순찰팀","씨유메디칼","미아지구대","127.0282634730","37.6201560580"
"I-PAD NFK200","012","01","김귀철","02-983-7960","서울특별시 강북구 삼양로24길 19","029837960","관리사무소 입구","씨유메디칼시스템","현대성우아파트","127.0219965035","37.6174496535"
"NFK200","047","13","배찬홍","02-6212-6181","서울특별시 성동구 행당로 79 (행당동 행당동 대림아파트)","02-6212-6181","관리사무소 2층","(주)씨유메디칼","행당대림아파트","127.0275070061","37.5582053468"
"씨유메디칼시스템 NFK200","027","21","관리소장","02-912-5002","서울특별시 성북구 길음로9길 50 (길음동 길음뉴타운)","029125002","관리사무소","(주)씨유메디칼","길음뉴타운9단지아파트","127.0209503059","37.6026964149"
"NFK200","039","41","강지현","02-374-0454","서울특별시 마포구 월드컵북로38길 26 신북초등학교","023740454","본관 중앙 현관","씨유메디칼시스템","서울신북초등학교","126.9053602615","37.5711049584"
"i-PAD NFK200","120","808","김도현","02-335-8802","서울특별시 서대문구 신촌역로 22","02-335-8802","신촌지구대 1층 출입구 옆 벽면","씨유메디칼시스템","신촌지구대","126.9430098717","37.5585525829"
"i-pad nfk200","036","18","허윤영","02-379-9921","서울특별시 서대문구 세검정로 78-19 홍제배드민턴장","02-379-9921","홍제배드민턴장 체육관 내부","씨유메디칼","홍제배드민턴장","126.9490268018","37.5951874186"
